,תאריך הדיווח,31/03/2016,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,
,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,
,8. חוזים עתידיים,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,
,,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),
,"סה""כ חוזים עתידיים ",,,,,"58,352,303.46",,"12,383.24",100.00,0.29,
,בישראל,,,,,,,,,,
,מדדים כולל מניות,,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,
,"סה""כ מדדים כולל מניות",,,,,0.00,,0.00,0.00,0.00,
,"ש""ח/מט""ח",,,,,,,,,,
,5.88%$/5.4264% 11.19 HAPI- בנק הפועלים,31001502,בנקים,דולר אמריקאי,01/11/15,"-1,000,000.00",119.14,"-4,486.85",-36.23,-0.10,
,5.88%/5.4264% 11.19 HAPI- בנק הפועלים,31001501,בנקים,שקל חדש,01/11/15,"3,772,000.00",124.93,"4,712.34",38.05,0.11,
,FW Poalim 25.04.2016 5.61 GBP/NIS- בנק הפועלים,76005244,בנקים,לירה שטרלינג,20/01/16,"-60,000.00",-18.47,11.08,0.09,0.00,
,HAPI   ISR 03.20 4.625%/5.85%- בנק הפועלים,31002301,בנקים,שקל חדש,01/11/15,"1,770,040.00",124.63,"2,206.05",17.81,0.05,
,HAPI   ISR 03.20 4.625%/5.85%- בנק הפועלים,31002302,בנקים,אירו,01/11/15,"-380,000.00",122.66,"-1,997.59",-16.13,-0.05,
,HAPI  ISR 03.20 4.625%/5.91%- בנק הפועלים,31001401,בנקים,שקל חדש,01/11/15,"2,978,172.00",124.88,"3,718.99",30.03,0.09,
,HAPI  ISR 03.20 4.625%/5.91%- בנק הפועלים,31001402,בנקים,אירו,01/11/15,"-600,000.00",122.66,"-3,154.09",-25.47,-0.07,
,HAPI PHONIX 2019 L+4.075%/6.675%- בנק הפועלים,31005401,בנקים,שקל חדש,01/11/15,"1,902,750.00",123.68,"2,353.28",19.00,0.05,
,HAPI PHONIX 2019 L+4.075%/6.675%$- בנק הפועלים,31005402,בנקים,דולר אמריקאי,01/11/15,"-500,000.00",114.04,"-2,147.39",-17.34,-0.05,
,FW MIZI 29.08.2016 3.9 USD/NIS- בנק מזרחי טפחות,76005404,בנקים,דולר אמריקאי,24/02/16,"-230,000.00",-14.53,33.43,0.27,0.00,
,FW MIZI 29.08.2016 3.9 USD/NIS- בנק מזרחי טפחות,76005420,בנקים,דולר אמריקאי,24/02/16,"-2,100,000.00",-14.53,305.23,2.46,0.01,
,MIZI  ISR 03.20 4.625%/5.54%- בנק מזרחי טפחות,31000801,בנקים,שקל חדש,01/11/15,"5,088,000.00",123.38,"6,277.57",50.69,0.15,
,MIZI  ISR 03.20 4.625%/5.54%- בנק מזרחי טפחות,31000802,בנקים,אירו,01/11/15,"-1,000,000.00",122.66,"-5,256.82",-42.45,-0.12,
,MIZI  ISR 03.20 4.625%/5.805%- בנק מזרחי טפחות,31002901,בנקים,שקל חדש,01/11/15,"3,052,800.00",124.45,"3,799.23",30.68,0.09,
,MIZI  ISR 03.20 4.625%/5.805%- בנק מזרחי טפחות,31002902,בנקים,אירו,01/11/15,"-600,000.00",122.66,"-3,154.09",-25.47,-0.07,
,MIZI  ISR 3/19 5.125%/3.18%CPI- בנק מזרחי טפחות,31000300,בנקים,דולר אמריקאי,26/03/09,"200,000.00",80.13,160.26,1.29,0.00,
,MIZI ING 04/1/22L+3.8%/6.945%- בנק מזרחי טפחות,31005801,בנקים,שקל חדש,01/11/15,"1,500,800.00",141.31,"2,120.84",17.13,0.05,
,MIZI ING 04/1/22L+3.8%/6.945%$- בנק מזרחי טפחות,31005802,בנקים,דולר אמריקאי,01/11/15,"-400,000.00",124.55,"-1,876.23",-15.15,-0.04,
,MIZI ISRAEL 06.22 5%/6.075%- בנק מזרחי טפחות,31004601,בנקים,שקל חדש,01/11/15,"1,725,977.00",138.66,"2,393.28",19.33,0.06,
,MIZI ISRAEL 06.22 5%/6.075%$- בנק מזרחי טפחות,31004602,בנקים,דולר אמריקאי,01/11/15,"-473,000.00",125.51,"-2,235.66",-18.05,-0.05,
,MIZI ORMAT 08.17 7%/8.44%- בנק מזרחי טפחות,31002601,בנקים,שקל חדש,01/11/15,"1,807,500.00",113.47,"2,050.96",16.56,0.05,
,MIZI ORMAT 08.17 7%/8.44%$- בנק מזרחי טפחות,31002602,בנקים,דולר אמריקאי,01/11/15,"-500,000.00",109.77,"-2,066.97",-16.69,-0.05,
,5.845%$/5.4264% 11/19פקדון BLL- לאומי,31001602,בנקים,דולר אמריקאי,01/11/15,"-1,000,000.00",119.14,"-4,486.85",-36.23,-0.10,
,5.845%/5.4264% 11/19פקדון BLL- לאומי,31001601,בנקים,שקל חדש,01/11/15,"3,753,000.00",124.79,"4,683.30",37.82,0.11,
,BLL   ISR 03.20 4.625%/5.88%- לאומי,31002801,בנקים,שקל חדש,01/11/15,"2,968,800.00",124.75,"3,703.69",29.91,0.09,
,BLL   ISR 03.20 4.625%/5.88%- לאומי,31002802,בנקים,אירו,01/11/15,"-600,000.00",122.66,"-3,154.09",-25.47,-0.07,
,BLL  ISR 03.20 4.625%/5.85%- לאומי,31003001,בנקים,שקל חדש,01/11/15,"2,026,400.00",124.63,"2,525.56",20.39,0.06,
,BLL  ISR 03.20 4.625%/5.85%- לאומי,31003002,בנקים,אירו,01/11/15,"-400,000.00",122.66,"-2,102.73",-16.98,-0.05,
,BLL  ISR 03.20 4.625%/5.86%- לאומי,31001101,בנקים,שקל חדש,01/11/15,"6,000,000.00",124.67,"7,480.38",60.41,0.17,
,BLL  ISR 03.20 4.625%/5.86%- לאומי,31001102,בנקים,אירו,01/11/15,"-1,200,000.00",122.66,"-6,308.18",-50.94,-0.15,
,BLL  ISR 06.22 4%/5.3125%- לאומי,31006101,בנקים,שקל חדש,01/11/15,"1,481,400.00",133.66,"1,980.04",15.99,0.05,
,BLL  ISR 06.22 4%/5.3125%$- לאומי,31006102,בנקים,דולר אמריקאי,01/11/15,"-400,000.00",119.11,"-1,794.34",-14.49,-0.04,
,BLL BAC 5/18 5.65%/6.65%- לאומי,31001141,בנקים,שקל חדש,01/11/15,"1,439,000.00",117.74,"1,694.32",13.68,0.04,
,BLL BAC 5/18 5.65%/6.65%$- לאומי,31001142,בנקים,דולר אמריקאי,01/11/15,"-400,000.00",112.20,"-1,690.12",-13.65,-0.04,
,BLL HSBC 6/16 L+0.43/2.57% CPI- לאומי,31000111,בנקים,דולר אמריקאי,28/04/08,"600,000.00",53.59,321.51,2.60,0.01,
,BLL ING 04/01/22  L+3.8%/7.18- לאומי,31004701,בנקים,שקל חדש,01/11/15,"1,254,314.00",142.85,"1,791.85",14.47,0.04,
,BLL ING 04/01/22  L+3.8%/7.18$- לאומי,31004702,בנקים,דולר אמריקאי,01/11/15,"-337,000.00",124.55,"-1,580.72",-12.77,-0.04,
,BLL ING 4/21 L+300BP/7.545%- לאומי,31003301,בנקים,שקל חדש,01/11/15,"3,613,000.00",140.00,"5,058.36",40.85,0.12,
,BLL ING 4/21 L+300BP/7.545%$- לאומי,31003302,בנקים,דולר אמריקאי,01/11/15,"-1,000,000.00",117.36,"-4,419.75",-35.69,-0.10,
,BLL LLOYDS 21/06/21  L+3M/7.34- לאומי,31003901,בנקים,שקל חדש,01/11/15,"1,737,500.00",138.75,"2,410.77",19.47,0.06,
,BLL LLOYDS 21/06/21  L+3M/7.34$- לאומי,31003902,בנקים,דולר אמריקאי,01/11/15,"-500,000.00",117.79,"-2,218.04",-17.91,-0.05,
,FW BLL 28.11.16 4.136 EUR/NIS- לאומי,76004888,בנקים,אירו,26/11/15,"-250,000.00",15.47,-38.67,-0.31,0.00,
,FW BLL 5.7.16 3.8892 $/NIS- לאומי,76005134,בנקים,דולר אמריקאי,04/01/16,"-1,300,000.00",-12.86,167.17,1.35,0.00,
,FW BLL Hevra Le'Israel  28.04.16 3.77 $/NIS- לאומי,76005508,בנקים,דולר אמריקאי,30/03/16,"-500,000.00",-0.50,2.51,0.02,0.00,
,FW BLL M.LANEGEV  28.04.16 3.84085 $/NIS- לאומי,76005492,בנקים,דולר אמריקאי,23/03/16,"-80,000.00",-7.59,6.07,0.05,0.00,
,FW Leumi 06.09.2016 3.8656 USD/NIS- לאומי,76005468,בנקים,דולר אמריקאי,01/03/16,"-198,000.00",-11.16,22.09,0.18,0.00,
,FW Leumi 26.10.16 3.835 $/NIS- לאומי,76005424,בנקים,דולר אמריקאי,17/03/16,"-1,200,000.00",-8.78,105.41,0.85,0.00,
,FW LEUMI 26.10.16 3.835 $/NIS- לאומי,76005440,בנקים,דולר אמריקאי,17/03/16,"-230,000.00",-8.78,20.20,0.16,0.00,
,FW LEUMI 29.09.16 3.8765 $/NIS- לאומי,76005436,בנקים,דולר אמריקאי,25/02/16,"-1,550,000.00",-12.59,195.17,1.58,0.00,
,"סה""כ ש""ח/מט""ח",,,,,"29,683,453.00",,"8,141.74",65.75,0.19,
,"מט""ח/מט""ח",,,,,,,,,,
,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,
,"סה""כ מט""ח/מט""ח",,,,,0.00,,0.00,0.00,0.00,
,ריבית,,,,,,,,,,
,HAPI 12/25 TEL3M/6.4%- בנק הפועלים,31002001,בנקים,שקל חדש,01/11/15,"2,000,000.00",113.81,"2,276.16",18.38,0.05,
,HAPI 12/25 TEL3M/6.4%- בנק הפועלים,31002002,בנקים,שקל חדש,01/11/15,"-2,000,000.00",96.66,"-1,933.24",-15.61,-0.04,
,BLL 7.3.22-7.3.27  TEL3M/6.5- לאומי,31006401,בנקים,שקל חדש,01/11/15,"1,300,000.00",109.92,"1,429.00",11.54,0.03,
,BLL 7.3.22-7.3.27  TEL3M/6.5- לאומי,31006402,בנקים,שקל חדש,01/11/15,"-1,300,000.00",94.33,"-1,226.25",-9.90,-0.03,
,"סה""כ ריבית",,,,,0.00,,545.68,4.41,0.01,
,אחר,,,,,,,,,,
,DIS 04/03/19 CPI 2.12%- דיסקונט,31008900,בנקים,שקל חדש,04/03/14,"500,000.00",-11.22,-56.08,-0.45,0.00,
,DIS 27.4.20 CPI 2.18%- דיסקונט,31007300,בנקים,שקל חדש,25/04/13,"1,000,000.00",-13.64,-136.39,-1.10,0.00,
,Leumi 25.03.19 CPI 2.09%- לאומי,31009300,בנקים,שקל חדש,25/03/14,"1,000,000.00",-10.68,-106.79,-0.86,0.00,
,"סה""כ אחר",,,,,"2,500,000.00",,-299.26,-2.42,-0.01,
,"סה""כ בישראל",,,,,"32,183,453.00",,"8,388.15",67.74,0.19,
,"בחו""ל",,,,,,,,,,
,מדדים כולל מניות,,,,,,,,,,
,SWAP DB NDDUUS 10.8.2016- DEUTSCHE BANK,31011102,בנקים,דולר אמריקאי,10/08/15,602.00,"47,422.59","1,075.13",8.68,0.02,
,SWAP DB NDDUUS16.3.2017- DEUTSCHE BANK,31011108,בנקים,דולר אמריקאי,16/03/16,571.00,"8,910.62",191.61,1.55,0.00,
,SWAP GS NDDUWI 26.9.2016- GOLDMAN SACHS INTL,31011106,בנקים,דולר אמריקאי,21/09/15,571.00,"6,795.86",146.14,1.18,0.00,
,SWAP GS SPTR500N 9.5.2016- GOLDMAN SACHS INTL,31011600,בנקים,דולר אמריקאי,01/05/15,744.00,"21,365.90",598.65,4.83,0.01,
,SWAP JPM NDDUUS 29.8.2016- JP MORGAN SECURITIES PLC,31011104,בנקים,דולר אמריקאי,26/08/15,652.28,"30,232.82",742.67,6.00,0.02,
,SWAP JPM NDDUWI 11.8.2016- JP MORGAN SECURITIES PLC,31011103,בנקים,דולר אמריקאי,11/08/15,548.01,"49,386.75","1,019.25",8.23,0.02,
,SWAP JPM NDDUWI 20.6.2016- JP MORGAN SECURITIES PLC,31011800,בנקים,דולר אמריקאי,19/06/15,671.17,"1,611.70",40.74,0.33,0.00,
,SWAP JPM SPTR500N 14.12.2016- JP MORGAN SECURITIES PLC,31011107,בנקים,דולר אמריקאי,14/12/15,866.00,"6,871.55",224.11,1.81,0.01,
,"סה""כ מדדים כולל מניות",,,,,"5,225.46",,"4,038.29",32.61,0.09,
,מטבע,,,,,,,,,,
,BARC  I.E 12.27 7.75%/8.51%- BARCLAYS,31003401,בנקים,שקל חדש,01/11/15,"3,541,500.00",188.00,"6,658.19",53.77,0.15,
,BARC  I.E 12.27 7.75%/8.51%$- BARCLAYS,31003402,בנקים,דולר אמריקאי,01/11/15,"-1,000,000.00",171.38,"-6,453.99",-52.12,-0.15,
,BARC  ISR 03.20 4.625%/5.56%- BARCLAYS,31002101,בנקים,שקל חדש,01/11/15,"2,383,500.00",123.77,"2,950.12",23.82,0.07,
,BARC  ISR 03.20 4.625%/5.56%- BARCLAYS,31002102,בנקים,אירו,01/11/15,"-500,000.00",122.66,"-2,628.41",-21.23,-0.06,
,BARC  ISRAEL 3.19 5.125%/6.015- BARCLAYS,31003701,בנקים,שקל חדש,01/11/15,"1,871,375.00",119.44,"2,235.17",18.05,0.05,
,BARC  ISRAEL 3.19 5.125%/6.015$- BARCLAYS,31003702,בנקים,דולר אמריקאי,01/11/15,"-550,000.00",113.18,"-2,344.35",-18.93,-0.05,
,BARC BARC 20.6.22 L+3.65%/7.1%- BARCLAYS,31006701,בנקים,שקל חדש,01/11/15,"2,696,400.00",143.61,"3,872.42",31.27,0.09,
,BARC BARC 20.6.22 L+3.65%/7.1%$- BARCLAYS,31006702,בנקים,דולר אמריקאי,01/11/15,"-700,000.00",124.50,"-3,282.03",-26.50,-0.08,
,BARC ISR 03.20 4.625%/6%- BARCLAYS,31002701,בנקים,שקל חדש,01/11/15,"1,962,000.00",125.24,"2,457.18",19.84,0.06,
,BARC ISR 03.20 4.625%/6%- BARCLAYS,31002702,בנקים,אירו,01/11/15,"-400,000.00",122.66,"-2,102.73",-16.98,-0.05,
,BARC ORMAT 08.17 7%/7.93%- BARCLAYS,31001701,בנקים,שקל חדש,01/11/15,"3,392,100.00",112.69,"3,822.55",30.87,0.09,
,BARC ORMAT 08.17 7%/7.93%$- BARCLAYS,31001702,בנקים,דולר אמריקאי,01/11/15,"-900,000.00",109.91,"-3,725.15",-30.08,-0.09,
,D.B. LLO 06.21 L+3.1%/6.33%- DEUTSCHE BANK,31006001,בנקים,שקל חדש,01/11/15,"1,480,000.00",133.40,"1,974.35",15.94,0.05,
,D.B. LLO 06.21 L+3.1%/6.33%$- DEUTSCHE BANK,31006002,בנקים,דולר אמריקאי,01/11/15,"-400,000.00",117.79,"-1,774.43",-14.33,-0.04,
,D.B.UBS 5.7.22 L+3.3%/6.73%- DEUTSCHE BANK,31006501,בנקים,שקל חדש,01/11/15,"2,626,750.00",142.91,"3,753.92",30.31,0.09,
,D.B.UBS 5.7.22 L+3.3%/6.73%$- DEUTSCHE BANK,31006502,בנקים,דולר אמריקאי,01/11/15,"-700,000.00",122.90,"-3,239.81",-26.16,-0.08,
,FW DB 11.04.16 3.9322 USD/NIS- DEUTSCHE BANK,76005172,בנקים,דולר אמריקאי,07/01/16,"-1,400,000.00",-16.66,233.27,1.88,0.01,
,JPM CSA דולר- JP MORGAN SECURITIES PLC,1000530,בנקים,דולר אמריקאי,09/03/16,"-220,000.00",100.00,-828.52,-6.69,-0.02,
,"סה""כ מטבע",,,,,"13,183,625.00",,"1,577.76",12.74,0.04,
,ריבית,,,,,,,,,,
,BARC 09/06/26  TEL-3M/6.385- BARCLAYS,31004001,בנקים,שקל חדש,01/11/15,"2,000,000.00",112.01,"2,240.27",18.09,0.05,
,BARC 09/06/26  TEL-3M/6.385- BARCLAYS,31004002,בנקים,שקל חדש,01/11/15,"-2,000,000.00",95.81,"-1,916.19",-15.47,-0.04,
,"סה""כ ריבית",,,,,0.00,,324.07,2.62,0.01,
,אחר,,,,,,,,,,
,Barc 1/7/23 CPI 2.20%- BARCLAYS,31007600,בנקים,שקל חדש,01/07/13,"2,700,000.00",-16.12,-435.29,-3.52,-0.01,
,Barc 17/7/23 CPI 2.188%- BARCLAYS,31007700,בנקים,שקל חדש,17/07/13,"1,800,000.00",-16.74,-301.28,-2.43,-0.01,
,Barc 18/7/23 CPI 2.15%- BARCLAYS,31007800,בנקים,שקל חדש,18/07/13,"3,600,000.00",-16.27,-585.88,-4.73,-0.01,
,BARC 22.10.2028 CPI 1.9%- BARCLAYS,31010400,בנקים,שקל חדש,22/10/14,"1,250,000.00",-8.40,-105.04,-0.85,0.00,
,BARC 30/5/19 CPI 2.25%- BARCLAYS,31006800,בנקים,שקל חדש,30/05/12,"1,400,000.00",-15.81,-221.40,-1.79,-0.01,
,Barc 9.06.28 CPI 2.19%- BARCLAYS,31009600,בנקים,שקל חדש,09/06/14,"1,100,000.00",-13.34,-146.69,-1.18,0.00,
,DB 04/03/19 CPI 2.12%- DEUTSCHE BANK,31008800,בנקים,שקל חדש,04/03/14,"500,000.00",-11.38,-56.92,-0.46,0.00,
,DB 24/10/2020 CPI 2.15%- DEUTSCHE BANK,31008100,בנקים,שקל חדש,24/10/13,"630,000.00",-14.69,-92.53,-0.75,0.00,
,"סה""כ אחר",,,,,"12,980,000.00",,"-1,945.03",-15.71,-0.05,
,"סה""כ בחו""ל",,,,,"26,168,850.46",,"3,995.09",32.26,0.09,
,בעל ענין/צד קשור *,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,