,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,14.63,,,0.81,"2,741,326,279.03",,"3,034,898.54",,100.00,70.51,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,
,חץ,,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חץ",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,ערד,,,,,,,,,,,,,,,,,,,
,ערד 8794 02.09.27 4.8%- ממשלת ישראל,8287948,RF,מעלות,02/09/12,9.41,שקל חדש,4.80,0.52,"10,809,000.00",148.28,"16,027.20",0.00,0.53,0.37,,,,,
,ערד 8795 02.10.27 4.8%- ממשלת ישראל,8287955,RF,מעלות,02/10/12,9.35,שקל חדש,4.80,0.52,"7,486,000.00",150.12,"11,237.75",0.00,0.37,0.26,,,,,
,ערד 8796 01.11.27 4.8%- ממשלת ישראל,8287963,RF,מעלות,01/11/12,9.43,שקל חדש,4.80,0.52,"10,874,000.00",150.05,"16,316.25",0.00,0.54,0.38,,,,,
,ערד 8797 02.12.27 4.8%- ממשלת ישראל,8287971,RF,מעלות,02/12/12,9.51,שקל חדש,4.80,0.54,"11,253,000.00",149.71,"16,847.01",0.00,0.56,0.39,,,,,
,ערד 8798 01.01.28 4.8%- ממשלת ישראל,8287989,RF,מעלות,01/01/13,9.59,שקל חדש,4.80,0.54,"8,201,000.00",149.67,"12,274.78",0.00,0.40,0.29,,,,,
,ערד 8799 01.02.28 4.8%- ממשלת ישראל,8287997,RF,מעלות,01/02/13,9.68,שקל חדש,4.80,0.54,"41,288,000.00",149.61,"61,771.93",0.00,2.04,1.44,,,,,
,ערד 8800 01.03.28 4.8%- ממשלת ישראל,8288003,RF,מעלות,01/03/13,9.76,שקל חדש,4.80,0.56,"8,265,000.00",149.28,"12,337.66",0.00,0.41,0.29,,,,,
,ערד 8801 02.04.28 4.8%- ממשלת ישראל,8288011,RF,מעלות,02/04/13,9.69,שקל חדש,4.80,0.55,"4,900,000.00",151.62,"7,429.49",0.00,0.24,0.17,,,,,
,ערד 8802 01.05.28 4.8%- ממשלת ישראל,8288029,RF,מעלות,01/05/13,9.77,שקל חדש,4.80,0.55,"7,882,000.00",151.57,"11,947.00",0.00,0.39,0.28,,,,,
,ערד 8803 02.06.28 4.8%- ממשלת ישראל,8288037,RF,מעלות,02/06/13,9.85,שקל חדש,4.80,0.57,"7,189,000.00",151.23,"10,872.15",0.00,0.36,0.25,,,,,
,ערד 8804 01.07.28 4.8%- ממשלת ישראל,8288045,RF,מעלות,01/07/13,9.93,שקל חדש,4.80,0.57,"3,583,000.00",151.19,"5,417.26",0.00,0.18,0.13,,,,,
,ערד 8806 01.09.28 4.8%- ממשלת ישראל,8288060,RF,מעלות,01/09/13,10.10,שקל חדש,4.80,0.59,"1,115,000.00",150.79,"1,681.28",0.00,0.06,0.04,,,,,
,ערד 8807 01.10.28 4.8%- ממשלת ישראל,8288078,RF,מעלות,01/10/13,10.02,שקל חדש,4.80,0.59,"157,000.00",153.13,240.42,0.00,0.01,0.01,,,,,
,ערד 8808 01.11.28 4.8%- ממשלת ישראל,8288086,RF,מעלות,01/11/13,10.11,שקל חדש,4.80,0.58,"17,560,000.00",153.08,"26,880.44",0.00,0.89,0.62,,,,,
,ערד 8809 01.12.28 4.8%- ממשלת ישראל,8288094,RF,מעלות,01/12/13,10.19,שקל חדש,4.80,0.60,"6,804,000.00",152.74,"10,392.36",0.00,0.34,0.24,,,,,
,ערד 8810 01.1.29 4.8%- ממשלת ישראל,8288102,RF,מעלות,01/01/14,10.27,שקל חדש,4.80,0.60,"9,964,000.00",152.68,"15,213.24",0.00,0.50,0.35,,,,,
,ערד 8811 02.2.29 4.8%- ממשלת ישראל,8288110,RF,מעלות,02/02/14,10.36,שקל חדש,4.80,0.60,"12,251,000.00",152.62,"18,697.72",0.00,0.62,0.43,,,,,
,ערד 8812 02.3.29 4.8%- ממשלת ישראל,8288128,RF,מעלות,02/03/14,10.43,שקל חדש,4.80,0.62,"1,492,000.00",152.29,"2,272.10",0.00,0.07,0.05,,,,,
,ערד 8813 01.4.29 4.8%- ממשלת ישראל,8288136,RF,מעלות,01/04/14,10.35,שקל חדש,4.80,0.61,"13,232,000.00",154.63,"20,460.32",0.00,0.67,0.48,,,,,
,ערד 8814 01.5.29 4.8%- ממשלת ישראל,8288144,RF,מעלות,01/05/14,10.44,שקל חדש,4.80,0.61,"2,542,000.00",154.57,"3,929.17",0.00,0.13,0.09,,,,,
,ערד 8815 01.6.29 4.8%- ממשלת ישראל,8288151,RF,מעלות,01/06/14,10.52,שקל חדש,4.80,0.63,"2,205,000.00",154.23,"3,400.72",0.00,0.11,0.08,,,,,
,ערד 8816 01.7.29 4.8%- ממשלת ישראל,8288169,RF,מעלות,01/07/14,10.60,שקל חדש,4.80,0.63,"10,396,000.00",154.17,"16,027.44",0.00,0.53,0.37,,,,,
,ערד 8817 01.8.29 4.8%- ממשלת ישראל,8288177,RF,מעלות,01/08/14,10.69,שקל חדש,4.80,0.63,"6,149,000.00",154.11,"9,476.14",0.00,0.31,0.22,,,,,
,ערד 8819 02.10.29 4.8%- ממשלת ישראל,8288193,RF,מעלות,01/10/14,10.68,שקל חדש,4.80,0.64,"18,501,000.00",156.11,"28,882.48",0.00,0.95,0.67,,,,,
,ערד 8820 02.11.29 4.8%- ממשלת ישראל,8288201,RF,מעלות,02/11/14,10.77,שקל חדש,4.80,0.64,"6,036,000.00",156.04,"9,418.50",0.00,0.31,0.22,,,,,
,ערד 8821 1.12.29 4.8%- ממשלת ישראל,8288219,RF,מעלות,01/12/14,10.85,שקל חדש,4.80,0.66,"8,816,000.00",155.71,"13,727.19",0.00,0.45,0.32,,,,,
,ערד 8822 1.1.30 4.8%- ממשלת ישראל,8288227,RF,מעלות,01/01/15,10.93,שקל חדש,4.80,0.65,"10,497,000.00",155.63,"16,336.89",0.00,0.54,0.38,,,,,
,ערד 8823 01.02.30 4.8%- ממשלת ישראל,8288235,RF,מעלות,01/02/15,11.02,שקל חדש,4.80,0.65,"3,947,000.00",155.57,"6,140.35",0.00,0.20,0.14,,,,,
,ערד 8824 01.03.30 4.8%- ממשלת ישראל,8288243,RF,מעלות,01/03/15,11.09,שקל חדש,4.80,0.67,"6,812,000.00",155.23,"10,574.15",0.00,0.35,0.25,,,,,
,ערד 8825 01.04.30 4.8%- ממשלת ישראל,8288250,RF,מעלות,01/04/15,11.01,שקל חדש,4.80,0.67,"20,343,000.00",157.56,"32,052.99",0.00,1.06,0.74,,,,,
,ערד 8826 01.05.30 4.8%- ממשלת ישראל,8288268,RF,מעלות,01/05/15,11.09,שקל חדש,4.80,0.67,"1,531,000.00",157.50,"2,411.31",0.00,0.08,0.06,,,,,
,ערד 8827 2.6.30 4.8%- ממשלת ישראל,8288276,RF,מעלות,01/06/15,11.17,שקל חדש,4.80,0.68,"3,983,000.00",157.16,"6,259.76",0.00,0.21,0.15,,,,,
,ערד 8828 01.07.30 4.8%- ממשלת ישראל,8288284,RF,מעלות,01/07/15,11.26,שקל חדש,4.80,0.68,"11,403,000.00",157.09,"17,912.63",0.00,0.59,0.42,,,,,
,ערד 8833 01.12.30 4.8%- ממשלת ישראל,8288334,RF,מעלות,01/12/15,11.49,שקל חדש,4.80,0.70,"7,278,000.00",158.59,"11,541.97",0.00,0.38,0.27,,,,,
,ערד 8834 01.01.31 4.8%- ממשלת ישראל,8288342,RF,מעלות,01/01/16,11.58,שקל חדש,4.80,0.70,"2,301,000.00",158.52,"3,647.48",0.00,0.12,0.08,,,,,
,ערד 8835 01.02.31 4.8%- ממשלת ישראל,8288359,RF,מעלות,01/02/16,11.67,שקל חדש,4.80,0.70,"2,413,000.00",158.46,"3,823.58",0.00,0.13,0.09,,,,,
,"סה""כ ערד",,,,,10.30,,,0.60,"309,458,000.00",,"473,879.10",,15.61,11.01,,,,,
,מירון,,,,,,,,,,,,,,,,,,,
,מירון 8283- ממשלת ישראל,8182834,RF,מעלות,01/04/96 ,0.00,שקל חדש,5.50,-0.84,"388,300.00",171.13,664.51,0.00,0.02,0.02,,,,,
,מירון 8284- ממשלת ישראל,8182842,RF,מעלות,01/05/96 ,0.08,שקל חדש,5.50,-0.84,"430,000.00",169.58,729.18,0.00,0.02,0.02,,,,,
,מירון 8285- ממשלת ישראל,8182859,RF,מעלות,02/06/96 ,0.17,שקל חדש,5.50,-0.84,"576,500.00",166.94,962.42,0.00,0.03,0.02,,,,,
,מירון 8286- ממשלת ישראל,8182867,RF,מעלות,01/07/96 ,0.25,שקל חדש,5.50,-0.84,"243,400.00",164.26,399.80,0.00,0.01,0.01,,,,,
,מירון 8287- ממשלת ישראל,8182875,RF,מעלות,01/08/96 ,0.34,שקל חדש,5.50,-0.84,"440,000.00",163.19,718.03,0.00,0.02,0.02,,,,,
,מירון 8288- ממשלת ישראל,8182883,RF,מעלות,01/09/96 ,0.42,שקל חדש,5.50,-0.67,"753,000.00",162.72,"1,225.30",0.00,0.04,0.03,,,,,
,מירון 8289- ממשלת ישראל,8182891,RF,מעלות,01/10/96 ,0.49,שקל חדש,5.50,-0.67,"395,000.00",166.56,657.90,0.00,0.02,0.02,,,,,
,מירון 8290- ממשלת ישראל,8182909,RF,מעלות,01/11/96 ,0.58,שקל חדש,5.50,-0.67,"530,000.00",165.94,879.47,0.00,0.03,0.02,,,,,
,מירון 8291- ממשלת ישראל,8182917,RF,מעלות,01/12/96 ,0.66,שקל חדש,5.50,-0.51,"607,700.00",164.56,"1,000.04",0.00,0.03,0.02,,,,,
,מירון 8292- ממשלת ישראל,8182925,RF,מעלות,01/01/97 ,0.74,שקל חדש,5.50,-0.51,"686,000.00",163.59,"1,122.23",0.00,0.04,0.03,,,,,
,מירון 8293- ממשלת ישראל,8182933,RF,מעלות,02/02/97 ,0.83,שקל חדש,5.50,-0.51,"516,400.00",162.41,838.67,0.00,0.03,0.02,,,,,
,מירון 8294- ממשלת ישראל,8182941,RF,מעלות,02/03/97 ,0.91,שקל חדש,5.50,-0.38,"448,000.00",161.60,723.95,0.00,0.02,0.02,,,,,
,מירון 8295- ממשלת ישראל,8182958,RF,מעלות,01/04/97 ,0.50,שקל חדש,5.50,-0.38,"784,000.00",159.46,"1,250.14",0.00,0.04,0.03,,,,,
,מירון 8296- ממשלת ישראל,8182966,RF,מעלות,01/05/97 ,0.58,שקל חדש,5.50,-0.41,"1,006,000.00",158.02,"1,589.64",0.00,0.05,0.04,,,,,
,מירון 8297- ממשלת ישראל,8182974,RF,מעלות,01/06/97 ,0.66,שקל חדש,5.50,-0.35,"1,330,600.00",156.83,"2,086.77",0.00,0.07,0.05,,,,,
,מירון 8298- ממשלת ישראל,8182982,RF,מעלות,01/07/97 ,0.75,שקל חדש,5.50,-0.37,"1,000,000.00",156.16,"1,561.62",0.00,0.05,0.04,,,,,
,מירון 8299- ממשלת ישראל,8182990,RF,מעלות,01/08/97 ,0.83,שקל חדש,5.50,-0.39,"710,000.00",154.57,"1,097.46",0.00,0.04,0.03,,,,,
,מירון 8300- ממשלת ישראל,8183006,RF,מעלות,01/09/97 ,0.92,שקל חדש,5.50,-0.30,"1,536,000.00",152.97,"2,349.64",0.00,0.08,0.05,,,,,
,מירון 8301- ממשלת ישראל,8183014,RF,מעלות,01/10/97 ,0.97,שקל חדש,5.50,-0.32,"966,000.00",156.38,"1,510.67",0.00,0.05,0.04,,,,,
,מירון 8302- ממשלת ישראל,8183022,RF,מעלות,02/11/97 ,1.06,שקל חדש,5.50,-0.33,"1,442,000.00",156.55,"2,257.42",0.00,0.07,0.05,,,,,
,מירון 8303- ממשלת ישראל,8183030,RF,מעלות,01/12/97 ,1.14,שקל חדש,5.50,-0.27,"1,270,000.00",154.65,"1,964.07",0.00,0.06,0.05,,,,,
,מירון 8304- ממשלת ישראל,8183048,RF,מעלות,01/01/98 ,1.22,שקל חדש,5.50,-0.27,"1,101,000.00",155.10,"1,707.66",0.00,0.06,0.04,,,,,
,מירון 8305- ממשלת ישראל,8183055,RF,מעלות,01/02/98 ,1.31,שקל חדש,5.50,-0.28,"1,060,000.00",155.65,"1,649.93",0.00,0.05,0.04,,,,,
,מירון 8306- ממשלת ישראל,8183063,RF,מעלות,01/03/98 ,1.39,שקל חדש,5.50,-0.26,"990,000.00",155.15,"1,536.00",0.00,0.05,0.04,,,,,
,מירון 8307- ממשלת ישראל,8183071,RF,מעלות,01/04/98 ,1.05,שקל חדש,5.50,-0.27,"1,120,000.00",155.68,"1,743.63",0.00,0.06,0.04,,,,,
,מירון 8308- ממשלת ישראל,8183089,RF,מעלות,03/05/98 ,1.14,שקל חדש,5.50,-0.28,"1,428,000.00",156.05,"2,228.37",0.00,0.07,0.05,,,,,
,מירון 8309- ממשלת ישראל,8183097,RF,מעלות,01/06/98 ,1.22,שקל חדש,5.50,-0.29,"1,736,000.00",153.99,"2,673.33",0.00,0.09,0.06,,,,,
,מירון 8310- ממשלת ישראל,8183105,RF,מעלות,01/07/98 ,1.30,שקל חדש,5.50,-0.30,"1,148,000.00",153.46,"1,761.68",0.00,0.06,0.04,,,,,
,מירון 8311- ממשלת ישראל,8183113,RF,מעלות,03/08/98 ,1.39,שקל חדש,5.50,-0.31,"1,540,000.00",152.93,"2,355.10",0.00,0.08,0.05,,,,,
,מירון 8312- ממשלת ישראל,8183121,RF,מעלות,01/09/98 ,1.47,שקל חדש,5.50,-0.30,"1,316,000.00",153.13,"2,015.20",0.00,0.07,0.05,,,,,
,מירון 8313- ממשלת ישראל,8183139,RF,מעלות,01/10/98 ,1.51,שקל חדש,5.50,-0.30,"1,120,000.00",156.24,"1,749.86",0.00,0.06,0.04,,,,,
,מירון 8314- ממשלת ישראל,8183147,RF,מעלות,01/11/98 ,1.60,שקל חדש,5.50,-0.30,"1,876,000.00",154.13,"2,891.47",0.00,0.10,0.07,,,,,
,מירון 8315- ממשלת ישראל,8183154,RF,מעלות,01/12/98 ,1.68,שקל חדש,5.50,-0.29,"2,296,000.00",149.63,"3,435.50",0.00,0.11,0.08,,,,,
,מירון 8316- ממשלת ישראל,8183162,RF,מעלות,01/01/99 ,1.76,שקל חדש,5.50,-0.30,"1,568,000.00",147.78,"2,317.21",0.00,0.08,0.05,,,,,
,מירון 8317- ממשלת ישראל,8183170,RF,מעלות,01/02/99 ,1.85,שקל חדש,5.50,-0.30,"1,680,000.00",147.73,"2,481.94",0.00,0.08,0.06,,,,,
,מירון 8318- ממשלת ישראל,8183188,RF,מעלות,01/03/99 ,1.93,שקל חדש,5.50,-0.30,"1,680,000.00",148.47,"2,494.25",0.00,0.08,0.06,,,,,
,מירון 8319- ממשלת ישראל,8183196,RF,מעלות,02/04/99 ,1.57,שקל חדש,5.50,-0.30,"2,160,000.00",149.74,"3,234.44",0.00,0.11,0.08,,,,,
,מירון 8320- ממשלת ישראל,8183204,RF,מעלות,02/05/99 ,1.65,שקל חדש,5.50,-0.31,"2,376,000.00",150.08,"3,566.01",0.00,0.12,0.08,,,,,
,מירון 8321- ממשלת ישראל,8183212,RF,מעלות,01/06/99 ,1.73,שקל חדש,5.50,-0.32,"2,520,000.00",149.72,"3,772.88",0.00,0.12,0.09,,,,,
,מירון 8322- ממשלת ישראל,8183220,RF,מעלות,01/07/99 ,1.81,שקל חדש,5.50,-0.32,"1,548,000.00",149.05,"2,307.34",0.00,0.08,0.05,,,,,
,מירון 8323- ממשלת ישראל,8183238,RF,מעלות,01/08/99 ,1.90,שקל חדש,5.50,-0.33,"1,620,000.00",148.68,"2,408.60",0.00,0.08,0.06,,,,,
,מירון 8324- ממשלת ישראל,8183246,RF,מעלות,01/09/99 ,1.98,שקל חדש,5.50,-0.32,"1,980,000.00",148.27,"2,935.79",0.00,0.10,0.07,,,,,
,מירון 8325- ממשלת ישראל,8183253,RF,מעלות,01/10/99 ,2.02,שקל חדש,5.50,-0.32,"1,944,000.00",151.23,"2,939.88",0.00,0.10,0.07,,,,,
,מירון 8326- ממשלת ישראל,8183261,RF,מעלות,01/11/99 ,2.10,שקל חדש,5.50,-0.32,"2,286,000.00",150.56,"3,441.90",0.00,0.11,0.08,,,,,
,מירון 8327- ממשלת ישראל,8183279,RF,מעלות,01/12/99 ,2.18,שקל חדש,5.50,-0.31,"2,520,000.00",149.58,"3,769.31",0.00,0.12,0.09,,,,,
,מירון 8328- ממשלת ישראל,8183287,RF,מעלות,03/01/00 ,2.27,שקל חדש,5.50,-0.31,"2,700,000.00",149.90,"4,047.37",0.00,0.13,0.09,,,,,
,מירון 8329- ממשלת ישראל,8183295,RF,מעלות,01/02/00 ,2.35,שקל חדש,5.50,-0.31,"2,016,000.00",149.94,"3,022.86",0.00,0.10,0.07,,,,,
,מירון 8330- ממשלת ישראל,8183303,RF,מעלות,01/03/00 ,2.43,שקל חדש,5.50,-0.30,"2,016,000.00",150.65,"3,037.17",0.00,0.10,0.07,,,,,
,מירון 8331- ממשלת ישראל,8183311,RF,מעלות,02/04/00 ,2.06,שקל חדש,5.50,-0.31,"2,288,000.00",151.38,"3,463.60",0.00,0.11,0.08,,,,,
,מירון 8332- ממשלת ישראל,8183329,RF,מעלות,01/05/00 ,2.14,שקל חדש,5.50,-0.31,"1,980,000.00",151.86,"3,006.87",0.00,0.10,0.07,,,,,
,מירון 8333- ממשלת ישראל,8183337,RF,מעלות,01/06/00 ,2.23,שקל חדש,5.50,-0.30,"2,640,000.00",151.16,"3,990.60",0.00,0.13,0.09,,,,,
,מירון 8334- ממשלת ישראל,8183345,RF,מעלות,02/07/00 ,2.31,שקל חדש,5.50,-0.31,"2,464,000.00",149.93,"3,694.38",0.00,0.12,0.09,,,,,
,מירון 8335- ממשלת ישראל,8183352,RF,מעלות,01/08/00 ,2.39,שקל חדש,5.50,-0.31,"2,288,000.00",149.56,"3,421.99",0.00,0.11,0.08,,,,,
,מירון 8336- ממשלת ישראל,8183360,RF,מעלות,01/09/00 ,2.48,שקל חדש,5.50,-0.29,"968,000.00",149.11,"1,443.38",0.00,0.05,0.03,,,,,
,מירון 8337- ממשלת ישראל,8183378,RF,מעלות,02/10/00 ,2.50,שקל חדש,5.50,-0.29,"1,320,000.00",153.57,"2,027.10",0.00,0.07,0.05,,,,,
,מירון 8338- ממשלת ישראל,8183386,RF,מעלות,01/11/00 ,2.59,שקל חדש,5.50,-0.29,"1,760,000.00",154.48,"2,718.87",0.00,0.09,0.06,,,,,
,מירון 8339- ממשלת ישראל,8183394,RF,מעלות,01/12/00 ,2.67,שקל חדש,5.50,-0.27,"2,200,000.00",153.55,"3,378.18",0.00,0.11,0.08,,,,,
,מירון 8340- ממשלת ישראל,8183402,RF,מעלות,01/01/01 ,2.75,שקל חדש,5.50,-0.27,"2,200,000.00",153.59,"3,379.08",0.00,0.11,0.08,,,,,
,מירון 8341- ממשלת ישראל,8183410,RF,מעלות,01/02/01 ,2.84,שקל חדש,5.50,-0.27,"1,320,000.00",153.78,"2,029.89",0.00,0.07,0.05,,,,,
,מירון 8342- ממשלת ישראל,8183428,RF,מעלות,01/03/01 ,2.91,שקל חדש,5.50,-0.25,"2,728,000.00",154.62,"4,218.09",0.00,0.14,0.10,,,,,
,מירון 8343- ממשלת ישראל,8183436,RF,מעלות,01/04/01 ,2.54,שקל חדש,5.50,-0.25,"2,496,000.00",154.76,"3,862.87",0.00,0.13,0.09,,,,,
,מירון 8344- ממשלת ישראל,8183444,RF,מעלות,01/05/01 ,2.62,שקל חדש,5.50,-0.25,"1,924,000.00",154.50,"2,972.56",0.00,0.10,0.07,,,,,
,מירון 8345- ממשלת ישראל,8183451,RF,מעלות,01/06/01 ,2.71,שקל חדש,5.50,-0.24,"2,600,000.00",153.07,"3,979.81",0.00,0.13,0.09,,,,,
,מירון 8346- ממשלת ישראל,8183469,RF,מעלות,01/07/01 ,2.79,שקל חדש,5.50,-0.24,"2,600,000.00",152.51,"3,965.17",0.00,0.13,0.09,,,,,
,מירון 8347- ממשלת ישראל,8183477,RF,מעלות,01/08/01 ,2.87,שקל חדש,5.50,-0.24,"2,080,000.00",152.10,"3,163.67",0.00,0.10,0.07,,,,,
,מירון 8348- ממשלת ישראל,8183485,RF,מעלות,02/09/01 ,2.96,שקל חדש,5.50,-0.22,"2,600,000.00",151.42,"3,936.80",0.00,0.13,0.09,,,,,
,מירון 8349- ממשלת ישראל,8183493,RF,מעלות,01/10/01 ,2.97,שקל חדש,5.50,-0.22,"2,277,600.00",154.52,"3,519.37",0.00,0.12,0.08,,,,,
,מירון 8350- ממשלת ישראל,8183501,RF,מעלות,01/11/01 ,3.06,שקל חדש,5.50,-0.22,"3,640,000.00",154.26,"5,615.03",0.00,0.19,0.13,,,,,
,מירון 8351- ממשלת ישראל,8183519,RF,מעלות,02/12/01 ,3.14,שקל חדש,5.50,-0.19,"4,368,000.00",154.00,"6,726.88",0.00,0.22,0.16,,,,,
,מירון 8352- ממשלת ישראל,8183527,RF,מעלות,01/01/02 ,3.22,שקל חדש,5.50,-0.19,"1,716,000.00",154.95,"2,658.87",0.00,0.09,0.06,,,,,
,מירון 8353- ממשלת ישראל,8183535,RF,מעלות,01/02/02 ,3.31,שקל חדש,5.50,-0.20,"2,600,000.00",155.13,"4,033.47",0.00,0.13,0.09,,,,,
,מירון 8354- ממשלת ישראל,8183543,RF,מעלות,01/03/02 ,3.38,שקל חדש,5.50,-0.17,"2,340,000.00",153.36,"3,588.68",0.00,0.12,0.08,,,,,
,מירון 8355- ממשלת ישראל,8183550,RF,מעלות,01/04/02 ,3.01,שקל חדש,5.50,-0.17,"2,640,000.00",152.18,"4,017.44",0.00,0.13,0.09,,,,,
,מירון 8356- ממשלת ישראל,8183568,RF,מעלות,01/05/02 ,3.09,שקל חדש,5.50,-0.18,"2,580,000.00",151.48,"3,908.26",0.00,0.13,0.09,,,,,
,מירון 8357- ממשלת ישראל,8183576,RF,מעלות,02/06/02 ,3.18,שקל חדש,5.50,-0.15,"3,000,000.00",149.10,"4,473.11",0.00,0.15,0.10,,,,,
,מירון 8358- ממשלת ישראל,8183584,RF,מעלות,01/07/02 ,3.26,שקל חדש,5.50,-0.16,"900,000.00",147.74,"1,329.65",0.00,0.04,0.03,,,,,
,מירון 8359- ממשלת ישראל,8183592,RF,מעלות,01/08/02 ,3.34,שקל חדש,5.50,-0.16,"2,520,000.00",145.86,"3,675.66",0.00,0.12,0.09,,,,,
,מירון 8360- ממשלת ישראל,8183600,RF,מעלות,01/09/02 ,3.42,שקל חדש,5.50,-0.13,"4,560,000.00",144.80,"6,603.09",0.00,0.22,0.15,,,,,
,מירון 8361- ממשלת ישראל,8183618,RF,מעלות,01/10/02 ,3.43,שקל חדש,5.50,-0.14,"3,360,000.00",148.68,"4,995.63",0.00,0.16,0.12,,,,,
,מירון 8362- ממשלת ישראל,8183626,RF,מעלות,01/11/02 ,3.51,שקל חדש,5.50,-0.14,"1,200,000.00",148.16,"1,777.97",0.00,0.06,0.04,,,,,
,מירון 8363- ממשלת ישראל,8183634,RF,מעלות,01/12/02 ,3.59,שקל חדש,5.50,-0.11,"1,680,000.00",147.09,"2,471.06",0.00,0.08,0.06,,,,,
,מירון 8365- ממשלת ישראל,8183659,RF,מעלות,02/02/03 ,3.77,שקל חדש,5.50,-0.12,"3,000,000.00",148.77,"4,463.19",0.00,0.15,0.10,,,,,
,מירון 8366- ממשלת ישראל,8183667,RF,מעלות,02/03/03 ,3.84,שקל חדש,5.50,-0.09,"3,000,000.00",148.36,"4,450.84",0.00,0.15,0.10,,,,,
,מירון 8367- ממשלת ישראל,8183675,RF,מעלות,01/04/03 ,3.46,שקל חדש,5.50,-0.09,"6,120,000.00",147.80,"9,045.59",0.00,0.30,0.21,,,,,
,מירון 8370- ממשלת ישראל,8183709,RF,מעלות,01/06/03 ,3.63,שקל חדש,5.50,-0.07,"3,876,000.00",147.72,"5,725.75",0.00,0.19,0.13,,,,,
,מירון 8371- ממשלת ישראל,8183717,RF,מעלות,01/07/03 ,3.71,שקל חדש,5.50,-0.08,"3,332,000.00",148.48,"4,947.36",0.00,0.16,0.11,,,,,
,מירון 8372- ממשלת ישראל,8183725,RF,מעלות,01/08/03 ,3.80,שקל חדש,5.50,-0.08,"3,264,000.00",149.39,"4,876.21",0.00,0.16,0.11,,,,,
,"סה""כ מירון",,,,,2.46,,,-0.25,"163,833,500.00",,"248,669.66",,8.19,5.78,,,,,
,"פיקדונות חשכ""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ פיקדונות חשכ""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,,
,הדסה ס.מ.ישיר 31.12.15- ממשלת ישראל,7893496,RF,מעלות,31/03/16,16.83,שקל חדש,0.00,0.97,"2,268,034,779.03",101.95,"2,312,349.78",0.00,76.19,53.72,,,,,
,"סה""כ אחר",,,,,16.83,,,0.97,"2,268,034,779.03",,"2,312,349.78",,76.19,53.72,,,,,
,"סה""כ בישראל",,,,,14.63,,,0.81,"2,741,326,279.03",,"3,034,898.54",,100.00,70.51,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,
,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח לא סחיר שהנפיקו ממשלות זרות בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,