,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,
,החברה המדווחת,נתיב פנסיה,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,נתיב פנסיה,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,332,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.ה. פקדונות מעל 3 חודשים:,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,"מח""מ",סוג מטבע,תנאי ושיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,
,"סה""כ  פקדונות מעל 3 חודשים",,,,,,,,,0.00,,0.00,0.00,0.00,,,,,
,בישראל,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמוד מדד",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,לא צמוד,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ לא צמוד",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"נקוב במט""ח",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ נקוב במט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"צמודי מט""ח",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודי מט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אחר",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,